"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmarking.PurchaseOrderBenchmark.phobos250:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.phobos2500","avgt",1,20,0.023986,0.007113,"s/op"
"benchmarking.PurchaseOrderBenchmark.phobos2500:·gc.alloc.rate","avgt",1,20,16.902364,0.228426,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos2500:·gc.alloc.rate.norm","avgt",1,20,9297875.200000,6216.759760,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos2500:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.phobos25000","avgt",1,20,0.086305,0.011281,"s/op"
"benchmarking.PurchaseOrderBenchmark.phobos25000:·gc.alloc.rate","avgt",1,20,155.594159,3.028704,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos25000:·gc.alloc.rate.norm","avgt",1,20,95738865.600000,4470.752200,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos25000:·gc.churn.PS_Eden_Space","avgt",1,20,191.643956,296.509279,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos25000:·gc.churn.PS_Eden_Space.norm","avgt",1,20,119581380.800000,184732882.384185,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos25000:·gc.churn.PS_Survivor_Space","avgt",1,20,1.761277,5.545788,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos25000:·gc.churn.PS_Survivor_Space.norm","avgt",1,20,1118044.800000,3543763.952284,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos25000:·gc.count","avgt",1,20,5.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.phobos25000:·gc.time","avgt",1,20,59.000000,NaN,"ms"
"benchmarking.PurchaseOrderBenchmark.phobos5","avgt",1,20,0.003371,0.000672,"s/op"
"benchmarking.PurchaseOrderBenchmark.phobos5:·gc.alloc.rate","avgt",1,20,0.072032,0.006132,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos5:·gc.alloc.rate.norm","avgt",1,20,38090.400000,3252.254231,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos5:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.phobos50","avgt",1,20,0.004485,0.002148,"s/op"
"benchmarking.PurchaseOrderBenchmark.phobos50:·gc.alloc.rate","avgt",1,20,0.464691,0.007387,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos50:·gc.alloc.rate.norm","avgt",1,20,246182.400000,3928.792217,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos50:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.phobos500","avgt",1,20,0.007929,0.002842,"s/op"
"benchmarking.PurchaseOrderBenchmark.phobos500:·gc.alloc.rate","avgt",1,20,3.548996,0.043552,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos500:·gc.alloc.rate.norm","avgt",1,20,1893312.400000,24455.336352,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos500:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.phobos5000","avgt",1,20,0.038048,0.003585,"s/op"
"benchmarking.PurchaseOrderBenchmark.phobos5000:·gc.alloc.rate","avgt",1,20,32.768785,0.203093,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos5000:·gc.alloc.rate.norm","avgt",1,20,18518470.400000,27829.358394,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos5000:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.phobos50000","avgt",1,20,0.192899,0.047711,"s/op"
"benchmarking.PurchaseOrderBenchmark.phobos50000:·gc.alloc.rate","avgt",1,20,266.354529,16.484209,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos50000:·gc.alloc.rate.norm","avgt",1,20,192678889.600000,714816.592021,"B/op"
