"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmarking.PurchaseOrderBenchmark.xb75","avgt",1,20,0.007422,0.001920,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb75:·gc.alloc.rate","avgt",1,20,1.575912,0.038057,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb75:·gc.alloc.rate.norm","avgt",1,20,839808.000000,20265.562772,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb75:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb750","avgt",1,20,0.018149,0.006267,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb750:·gc.alloc.rate","avgt",1,20,12.746005,0.190310,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb750:·gc.alloc.rate.norm","avgt",1,20,6933851.600000,68026.265245,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb750:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb7500","avgt",1,20,0.552965,0.110496,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb7500:·gc.alloc.rate","avgt",1,20,61.955373,5.641495,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb7500:·gc.alloc.rate.norm","avgt",1,20,67640605.600000,154089.507514,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb7500:·gc.churn.PS_Eden_Space","avgt",1,20,47.547137,127.700843,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb7500:·gc.churn.PS_Eden_Space.norm","avgt",1,20,53477376.000000,142937475.649466,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb7500:·gc.churn.PS_Old_Gen","avgt",1,20,2.036975,7.910402,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb7500:·gc.churn.PS_Old_Gen.norm","avgt",1,20,2505846.000000,9731217.022097,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb7500:·gc.churn.PS_Survivor_Space","avgt",1,20,2.293319,8.423099,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb7500:·gc.churn.PS_Survivor_Space.norm","avgt",1,20,2797800.400000,10362031.193628,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb7500:·gc.count","avgt",1,20,3.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb7500:·gc.time","avgt",1,20,130.000000,NaN,"ms"
"benchmarking.PurchaseOrderBenchmark.xb75000","avgt",1,20,48.501876,12.398251,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb75000:·gc.alloc.rate","avgt",1,20,14.220761,1.851293,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb75000:·gc.alloc.rate.norm","avgt",1,20,701594706.400000,9202862.505336,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb75000:·gc.churn.PS_Eden_Space","avgt",1,20,14.356233,3.778707,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb75000:·gc.churn.PS_Eden_Space.norm","avgt",1,20,707500441.600000,155159364.267657,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb75000:·gc.churn.PS_Old_Gen","avgt",1,20,0.192466,0.747425,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb75000:·gc.churn.PS_Old_Gen.norm","avgt",1,20,9122042.400000,35424592.843763,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb75000:·gc.churn.PS_Survivor_Space","avgt",1,20,0.930920,0.550883,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb75000:·gc.churn.PS_Survivor_Space.norm","avgt",1,20,44882329.600000,25143762.709228,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb75000:·gc.count","avgt",1,20,36.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb75000:·gc.time","avgt",1,20,1896.000000,NaN,"ms"
"benchmarking.PurchaseOrderBenchmark.xb8","avgt",1,20,0.007877,0.002542,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb8:·gc.alloc.rate","avgt",1,20,0.338611,0.060253,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb8:·gc.alloc.rate.norm","avgt",1,20,172329.000000,4878.490808,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb8:·gc.count","avgt",1,20,0.000000,NaN,"counts"
